#,Name,Type 1,Type 2,Generation,Legendary,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1,Bulbasaur,Grass,Poison,1,False,318,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,1,False,405,60,62,63,80,80,60
3,Venusaur,Grass,Poison,1,False,525,80,82,83,100,100,80
3,VenusaurMega Venusaur,Grass,Poison,1,False,625,80,100,123,122,120,80
4,Charmander,Fire,,1,False,309,39,52,43,60,50,65
5,Charmeleon,Fire,,1,False,405,58,64,58,80,65,80
6,Charizard,Fire,Flying,1,False,534,78,84,78,109,85,100
6,CharizardMega Charizard X,Fire,Dragon,1,False,634,78,130,111,130,85,100
6,CharizardMega Charizard Y,Fire,Flying,1,False,634,78,104,78,159,115,100
7,Squirtle,Water,,1,False,314,44,48,65,50,64,43
8,Wartortle,Water,,1,False,405,59,63,80,65,80,58
9,Blastoise,Water,,1,False,530,79,83,100,85,105,78
9,BlastoiseMega Blastoise,Water,,1,False,630,79,103,120,135,115,78
10,Caterpie,Bug,,1,False,195,45,30,35,20,20,45
11,Metapod,Bug,,1,False,205,50,20,55,25,25,30
12,Butterfree,Bug,Flying,1,False,395,60,45,50,90,80,70
13,Weedle,Bug,Poison,1,False,195,40,35,30,20,20,50
14,Kakuna,Bug,Poison,1,False,205,45,25,50,25,25,35
15,Beedrill,Bug,Poison,1,False,395,65,90,40,45,80,75
15,BeedrillMega Beedrill,Bug,Poison,1,False,495,65,150,40,15,80,145
16,Pidgey,Normal,Flying,1,False,251,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,1,False,349,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,1,False,479,83,80,75,70,70,101
18,PidgeotMega Pidgeot,Normal,Flying,1,False,579,83,80,80,135,80,121
19,Rattata,Normal,,1,False,253,30,56,35,25,35,72
20,Raticate,Normal,,1,False,413,55,81,60,50,70,97
21,Spearow,Normal,Flying,1,False,262,40,60,30,31,31,70
22,Fearow,Normal,Flying,1,False,442,65,90,65,61,61,100
23,Ekans,Poison,,1,False,288,35,60,44,40,54,55
24,Arbok,Poison,,1,False,438,60,85,69,65,79,80
25,Pikachu,Electric,,1,False,320,35,55,40,50,50,90
26,Raichu,Electric,,1,False,485,60,90,55,90,80,110
27,Sandshrew,Ground,,1,False,300,50,75,85,20,30,40
28,Sandslash,Ground,,1,False,450,75,100,110,45,55,65
29,Nidoran (Female),Poison,,1,False,275,55,47,52,40,40,41
30,Nidorina,Poison,,1,False,365,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,1,False,505,90,92,87,75,85,76
32,Nidoran (Male),Poison,,1,False,273,46,57,40,40,40,50
33,Nidorino,Poison,,1,False,365,61,72,57,55,55,65
34,Nidoking,Poison,Ground,1,False,505,81,102,77,85,75,85
35,Clefairy,Fairy,,1,False,323,70,45,48,60,65,35
36,Clefable,Fairy,,1,False,483,95,70,73,95,90,60
37,Vulpix,Fire,,1,False,299,38,41,40,50,65,65
38,Ninetales,Fire,,1,False,505,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,1,False,270,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,1,False,435,140,70,45,85,50,45
41,Zubat,Poison,Flying,1,False,245,40,45,35,30,40,55
42,Golbat,Poison,Flying,1,False,455,75,80,70,65,75,90
43,Oddish,Grass,Poison,1,False,320,45,50,55,75,65,30
44,Gloom,Grass,Poison,1,False,395,60,65,70,85,75,40
45,Vileplume,Grass,Poison,1,False,490,75,80,85,110,90,50
46,Paras,Bug,Grass,1,False,285,35,70,55,45,55,25
47,Parasect,Bug,Grass,1,False,405,60,95,80,60,80,30
48,Venonat,Bug,Poison,1,False,305,60,55,50,40,55,45
49,Venomoth,Bug,Poison,1,False,450,70,65,60,90,75,90
50,Diglett,Ground,,1,False,265,10,55,25,35,45,95
51,Dugtrio,Ground,,1,False,405,35,80,50,50,70,120
52,Meowth,Normal,,1,False,290,40,45,35,40,40,90
53,Persian,Normal,,1,False,440,65,70,60,65,65,115
